Provincias	Comunidad autónoma de procedencia	Total
Palencia	Ceuta	0,04
Palencia	Melilla	0,03
Palmas, Las	Total	100
Palmas, Las	Andalucía	5,68
Palmas, Las	Aragón	0,68
Palmas, Las	Asturias, Principado de	1,15
Palmas, Las	Balears, Illes	0,9
Palmas, Las	Canarias	45,71
Palmas, Las	Cantabria	0,57
Palmas, Las	Castilla y León	1,66
Palmas, Las	Castilla - La Mancha	1,46
Palmas, Las	Cataluña	4,32
Palmas, Las	Comunitat Valenciana	1,69
Palmas, Las	Extremadura	0,45
Palmas, Las	Galicia	3,4
Palmas, Las	Madrid, Comunidad de	28,34
Palmas, Las	Murcia, Región de	0,41
Palmas, Las	Navarra, Comunidad Foral de	0,52
Palmas, Las	País Vasco	2,74
Palmas, Las	Rioja, La	0,19
Palmas, Las	Ceuta	0,09
Palmas, Las	Melilla	0,02
Pontevedra	Total	100
Pontevedra	Andalucía	7,76
Pontevedra	Aragón	1,06
Pontevedra	Asturias, Principado de	5,55
Pontevedra	Balears, Illes	0,85
Pontevedra	Canarias	1,93
Pontevedra	Cantabria	1,42
Pontevedra	Castilla y León	8,77
Pontevedra	Castilla - La Mancha	2,34
Pontevedra	Cataluña	5,07
Pontevedra	Comunitat Valenciana	3,25
Pontevedra	Extremadura	1,4
Pontevedra	Galicia	38,36
Pontevedra	Madrid, Comunidad de	16,8
Pontevedra	Murcia, Región de	1,11
Pontevedra	Navarra, Comunidad Foral de	0,6
Pontevedra	País Vasco	3,18
Pontevedra	Rioja, La	0,41
Pontevedra	Ceuta	0,08
Pontevedra	Melilla	0,04
Rioja, La	Total	100
Rioja, La	Andalucía	5,08
Rioja, La	Aragón	5,37
Rioja, La	Asturias, Principado de	2,54
Rioja, La	Balears, Illes	1,12
Rioja, La	Canarias	1,03
Rioja, La	Cantabria	2,6
Rioja, La	Castilla y León	6
Rioja, La	Castilla - La Mancha	2,98
Rioja, La	Cataluña	19,74
Rioja, La	Comunitat Valenciana	7,14
Rioja, La	Extremadura	0,92
Rioja, La	Galicia	3,84
Rioja, La	Madrid, Comunidad de	18,06
Rioja, La	Murcia, Región de	1,3
Rioja, La	Navarra, Comunidad Foral de	3,57
Rioja, La	País Vasco	13,97
Rioja, La	Rioja, La	4,61
